frame,timestamp,x,y,gps_x,gps_y,track_id,instantaneous_speed,cumulative_speed,acceleration,distance_to_next,same_lane,lane
2,1900-01-01 00:00:00.025000,666.3629150390625,85.29837799072266,-81.20901165214546,28.59359162869597,7.0,0.0,0.0,0.0,0.004354884942420757,True,-1
3,1900-01-01 00:00:00.050000,426.0516052246094,585.055908203125,-81.20891006427611,28.593595000656524,1.0,0.03795643808477749,0.03795643808477749,0.0,3.289210084501745e-05,True,-1
3,1900-01-01 00:00:00.050000,139.53330993652344,519.353515625,-81.20883974869403,28.59359528628914,2.0,0.10885771946900506,0.10885771946900506,0.0,0.005973975225363945,True,-1
3,1900-01-01 00:00:00.050000,857.49560546875,223.2847442626953,-81.2086679128376,28.593591683238596,3.0,0.6729239634954077,0.6729239634954077,0.0,0.2560351940751022,True,-1
3,1900-01-01 00:00:00.050000,1031.8482666015625,95.90480041503906,-81.20881103991829,28.59359378886137,4.0,0.05013747716553924,0.05013747716553924,0.0,0.005233071133256155,True,-1
3,1900-01-01 00:00:00.050000,983.3294067382812,279.67022705078125,-81.20840603175462,28.593592823739744,5.0,1.8414144327401427,1.8414144327401427,0.0,0.040050813204287716,True,-1
3,1900-01-01 00:00:00.050000,936.52734375,87.35513305664062,-81.20884371944392,28.59359348646553,6.0,0.02802233456702389,0.02802233456702389,0.0,5.1955735791093506e-05,True,-1
3,1900-01-01 00:00:00.050000,666.4027709960938,85.30499267578125,-81.20901160762723,28.5935916290895,7.0,0.17419539769683026,0.17419539769683026,0.0,0.0053988108589354995,True,-1
4,1900-01-01 00:00:00.066667,426.0341491699219,585.0779418945312,-81.20891006394267,28.593595000618198,1.0,0.0019734865809694275,0.02356308476646878,-2.158933911550253,0.0013029745140913488,True,-1
4,1900-01-01 00:00:00.066667,139.1502685546875,519.3455810546875,-81.20883968762163,28.593595286428336,2.0,0.3584313448949388,0.20868836758319706,14.974118043195157,0.002723446981901107,True,-1
4,1900-01-01 00:00:00.066667,857.467041015625,222.6602783203125,-81.20867053023497,28.593591701112047,3.0,15.361804408417964,6.548546647526518,881.3152003913455,0.08168880106672298,True,-1
4,1900-01-01 00:00:00.066667,1031.8514404296875,95.82070922851562,-81.2088110934165,28.5935937889232,4.0,0.31397798843560054,0.15567494809788648,15.830114073922198,0.0010716056876888497,True,-1
4,1900-01-01 00:00:00.066667,983.04345703125,279.6710205078125,-81.20840562234578,28.59359281901514,5.0,2.403000732242618,2.0660516481338056,33.69450408006692,0.03810675781023748,True,-1
4,1900-01-01 00:00:00.066667,936.5748291015624,87.32777404785156,-81.20884371990587,28.593593486696893,6.0,0.0031172818018295736,0.018060193917649237,-1.49427328044605,0.0002555166787550701,True,-1
4,1900-01-01 00:00:00.066667,666.3571166992188,85.32337188720703,-81.20901166281035,28.593591628185244,7.0,0.3239221730926681,0.2340868265379378,8.983426855213164,0.008296208306733128,True,-1
5,1900-01-01 00:00:00.091667,426.0673828125,585.110107421875,-81.20891007726271,28.59359500052667,1.0,0.05211898056365395,0.034271492148376305,2.0058197593073808,0.0011080012479892552,True,-1
5,1900-01-01 00:00:00.091667,139.04397583007812,519.3054809570312,-81.20883965977995,28.593595286562863,2.0,0.10893787927604427,0.17128212149924518,-9.97973862475578,0.001472570360973608,True,-1
5,1900-01-01 00:00:00.091667,857.418701171875,222.4600524902344,-81.20867136533063,28.593591705932525,3.0,3.267552042668919,5.318179822539044,-483.77009462996176,0.019238963204040498,True,-1
5,1900-01-01 00:00:00.091667,1031.8560791015625,95.80196380615234,-81.2088111043716,28.593593788948244,4.0,0.04286422750755398,0.11337113939555532,-10.844550437121862,0.0008637753923001031,True,-1
5,1900-01-01 00:00:00.091667,982.828369140625,279.6816711425781,-81.20840523279907,28.59359281529263,5.0,1.5242703124094992,1.862884663072116,-35.149216793324754,0.015896597238601148,True,-1
5,1900-01-01 00:00:00.091667,936.5679931640624,87.32721710205078,-81.2088437225179,28.59359348667229,6.0,0.010220667150202804,0.01512038607889602,0.2841354139349292,0.00020529345611582957,True,-1
5,1900-01-01 00:00:00.091667,666.418212890625,85.23075866699219,-81.2090115780408,28.59359163058211,7.0,0.3318483322693251,0.2707472078853013,0.3170463670662804,0.003890116072039232,True,-1
6,1900-01-01 00:00:00.116667,426.0842590332031,585.020751953125,-81.2089100659375,28.593595000714775,1.0,0.044320049919570205,0.03701199793868086,-0.3119572257633499,0.0010227157252180965,True,-1
